#separator:tab
#html:true
Wofür werden verteilte Systeme genutzt?	<div id='extra'>Zur Realisierung von Innovationen mit komplexen Anwendungen und Diensten</div>
Wo sind verteilte Anwendungen und Dienste oft verteilt?	<div id='extra'>Über mehrere Standorte oder Rechenzentren.</div>
Was ist das Ziel von verteilten Systemen?	<div id='extra'>Die Realisierung von:<br><ul><li>Innovationen mit komplexen Anwendungen und Diensten</li><li>Anwendungen und Diensten, die über mehrere Standorte oder Rechenzentren verteilt sind</li></ul></div>
Was ist ein verteiltes System?	<div id='extra'>Ein System, das aus mehreren autonomen Komponenten besteht, die über ein Netzwerk miteinander kommunizieren.</div>
Was ist eine autonome Komponente in einem verteilten System?	<div id='extra'>Eine Komponente, die unabhängig von anderen Komponenten agieren kann.</div>
Was bedeutet es, dass Komponenten in einem verteilten System autonom sind?	<div id='extra'>Sie können unabhängig voneinander agieren und Entscheidungen treffen.</div>
Was ist der Zweck der Verteilung von Anwendungen und Diensten in einem verteilten System?	<div id='extra'>Eine bessere Skalierbarkeit und Verfügbarkeit zu erreichen.</div>
Welche Rolle spielt das Netzwerk bei einem verteilten System?	<div id='extra'>Das Netzwerk ermöglicht die Kommunikation zwischen den autonomen Komponenten des Systems.</div>
Was sind Beispiele für Anwendungen, die als verteilte Systeme realisiert werden können?	<div id='extra'><ul><li>E-Commerce-Systeme</li><li>Soziale Netzwerke</li><li>Cloud-Computing-Plattformen</li></ul></div>
Welche Herausforderungen gibt es bei der Entwicklung von verteilten Systemen?	<div id='extra'><ul><li>Skalierbarkeit</li><li>Zuverlässigkeit</li><li>Sicherheit</li><li>Konsistenz</li></ul></div>
Was ist der Unterschied zwischen einem verteilten und einem monolithischen System?	<div id='extra'>Ein verteiltes System besteht aus mehreren autonomen Komponenten, während ein monolithisches System aus einer einzigen Komponente besteht.</div>
Was sind die Vorteile von verteilten Systemen gegenüber monolithischen Systemen?	<div id='extra'>Bessere Skalierbarkeit</div>
Was ist ein monolithisches System?	<div id='extra'>Eine Softwarearchitektur, bei der alle Komponenten einer Anwendung in einer einzigen, großen Codebase zusammengefasst sind.</div>
Was sind die Vorteile von monolithischen Systemen?	<div id='extra'>Einfachere Entwicklung und Wartung, da alle Komponenten in einer Codebase zusammengefasst sind.</div>
Was sind die Nachteile von monolithischen Systemen?	<div id='extra'>Skalierbarkeit und Verfügbarkeit können begrenzt sein, da alle Komponenten auf demselben Server laufen.</div>
Was ist ein Großrechner?	<div id='extra'>Ein leistungsstarkes Computersystem, das typischerweise in einem Rechenzentrum betrieben wird und für die Verarbeitung von großen Datenmengen und rechenintensiven Aufgaben verwendet wird.</div>
Wo werden Großrechner typischerweise eingesetzt?	<div id='extra'><ul><li>In großen Unternehmen</li><li>Regierungsbehörden</li><li>Forschungseinrichtungen</li></ul></div>
Was zeichnet einen Großrechner aus?	<div id='extra'><ul><li>Hohe Leistung</li><li>Zuverlässigkeit</li><li>Verfügbarkeit</li><li>Sicherheit</li></ul></div>
Was sind Beispiele für Anwendungen, die auf einem Großrechner laufen können?	<div id='extra'><ul><li>Simulationen</li><li>wissenschaftliche Berechnungen</li><li>Geschäftsanwendungen</li></ul></div>
Wie unterscheiden sich Großrechner von verteilten Systemen?	<div id='extra'>Großrechner sind zentralisierte Systeme, während verteilte Systeme aus mehreren autonomen Komponenten bestehen.</div>
Warum fällt eine klare Definition von verteilten Systemen schwer?	<div id='extra'>Weil verteilte Systeme nicht immer eine vergleichbare abstrahierte Struktur aufweisen.</div>
Was sind Beispiele für Abstraktionsansätze in verteilten Systemen?	<div id='extra'>Netzwerkprotokolle, Middleware oder Anwendungslogik.</div>
Was sind Beispiele für Anwendungen von Verteilten Systemen in der angewandten Informatik?	<div id='extra'>E-Commerce-Systeme, soziale Netzwerke oder Cloud-Computing-Plattformen.</div>
Was sind Beispiele für Anwendungen von Verteilten Systemen in der technischen Informatik?	<div id='extra'>Steuerungs- und Regelungssysteme, Automatisierungssysteme oder Prozessleitsysteme.</div>
Was sind Aspekte, unter denen ein verteiltes System diskutiert werden kann?	<div id='extra'>Design &amp; Architektur<div>Skalierbarkeit</div><div>Ausfallsicherheit</div></div>
Was ist Skalierbarkeit in Bezug auf verteilte Systeme?	<div id='extra'>Die Fähigkeit eines Systems, mit steigender Last umzugehen.</div>
Was ist Ausfallsicherheit in Bezug auf verteilte Systeme?	<div id='extra'>Die Fähigkeit eines Systems, bei Ausfällen oder Fehlern in Teilen des Systems weiterhin zu funktionieren.</div>
Warum müssen spezifische Skalierungs- und Wiederherstellungsmechanismen implementiert werden?	<div id='extra'>Um sicherzustellen, dass ein verteiltes System auch bei hoher Last oder Ausfällen zuverlässig funktioniert.</div>
Warum ist es wichtig, verschiedene Aspekte und Sichten von verteilten Systemen zu betrachten?	<div id='extra'>Um ein umfassendes Verständnis des Systems zu erlangen und eine bessere Beherrschbarkeit und Verständlichkeit zu erreichen.</div>
Welche anderen Aspekte können noch genannt werden, unter denen ein verteiltes System diskutiert werden kann?	<div id='extra'>Zum Beispiel Sicherheit, Datenschutz oder Performance.</div>
Was sind Beispiele für verschiedene Sichten auf ein verteiltes System?	<div id='extra'>Zum Beispiel die Netzwerksicht, die Anwendungssicht oder die Sicherheitssicht.</div>
Was ist Ressourcen-Sharing in Bezug auf verteilte Systeme?	<div id='extra'>Die gemeinsame Nutzung von Ressourcen wie Speicher, Rechenleistung oder Netzwerkbandbreite durch verschiedene Komponenten eines verteilten Systems.</div>
Warum ist Ressourcen-Sharing wichtig in verteilten Systemen?	<div id='extra'>Weil es dazu beiträgt, die Effizienz und Auslastung des Systems zu verbessern und Ressourcen optimal zu nutzen.</div>
Was sind Beispiele für Ressourcen, die in verteilten Systemen geteilt werden können?	<div id='extra'>Speicherplatz, Prozessorzeit, Netzwerkbandbreite oder Datenbankzugriffe.</div>
Was sind Vorteile von Ressourcen-Sharing in verteilten Systemen?	<div id='extra'>Eine höhere Effizienz und Auslastung des Systems sowie eine bessere Nutzung der verfügbaren Ressourcen.</div>
Wie kann Ressourcen-Sharing in verteilten Systemen umgesetzt werden?	<div id='extra'>Durch Mechanismen wie Load Balancing, Caching oder Replikation von Daten.</div>
Was bedeutet Offenheit in Bezug auf verteilte Systeme?	<div id='extra'>Offenheit bezieht sich darauf, dass ein System so konzipiert sein sollte, dass es leicht zugänglich und anpassbar für Benutzer und Entwickler ist.</div>
Warum ist Offenheit wichtig in verteilten Systemen?	<div id='extra'>Weil es dazu beiträgt, die Flexibilität und Anpassungsfähigkeit des Systems zu erhöhen und die Integration von verschiedenen Komponenten zu erleichtern.</div>
Was sind wohl-definierte Schnittstellen in Bezug auf Offenheit von verteilten Systemen?	<div id='extra'>Schnittstellen, die klar definiert sind und es Benutzern und Entwicklern ermöglichen, auf Ressourcen und Funktionen des Systems zuzugreifen.</div>
Was sind Vorteile von Offenheit in verteilten Systemen?	<div id='extra'>Eine höhere Flexibilität und Anpassungsfähigkeit des Systems sowie eine bessere Integration von verschiedenen Komponenten.</div>
Was ist ein Beispiel für Offenheit in verteilten Systemen?	<div id='extra'>Ein Beispiel wäre die Verwendung von offenen Standards wie HTTP oder XML, die es verschiedenen Komponenten ermöglichen, miteinander zu kommunizieren.</div>
Warum ist Skalierbarkeit wichtig in verteilten Systemen?	<div id='extra'>Weil es dazu beiträgt, dass das System auch bei steigender Last oder wachsender Anzahl von Benutzern zuverlässig funktioniert.</div>
Was sind Beispiele für Skalierungstechniken in verteilten Systemen?	<div id='extra'>Lastverteilung, Replikation von Daten oder horizontale Skalierung durch Hinzufügen weiterer Server.</div>
Was ist horizontale Skalierung in Bezug auf verteilte Systeme?	<div id='extra'>Horizontale Skalierung bezieht sich darauf, dass ein verteiltes System durch Hinzufügen weiterer Server horizontal erweitert wird.</div>
Was ist vertikale Skalierung in Bezug auf verteilte Systeme?	<div id='extra'>Vertikale Skalierung bezieht sich darauf, dass ein verteiltes System durch Erhöhung der Ressourcen (z.B. Speicher oder Prozessorleistung) eines einzelnen Servers skaliert wird.</div>
Was sind Vorteile von Skalierbarkeit in verteilten Systemen?	<div id='extra'>Zuverlässigkeit<div>Verfügbarkeit</div><div>Anpassungsfähigkeit</div></div>
Was ist Lastverteilung in Bezug auf verteilte Systeme?	<div id='extra'>Lastverteilung bezieht sich darauf, dass die Last auf verschiedene Server im System verteilt wird, um eine gleichmäßige Auslastung zu erreichen.</div>
Was ist Replikation von Daten in Bezug auf verteilte Systeme?	<div id='extra'>Replikation von Daten bezieht sich darauf, dass Daten auf mehrere Server im System repliziert werden, um eine höhere Verfügbarkeit und Zuverlässigkeit zu gewährleisten.</div>
Was sind Herausforderungen bei der Skalierung von verteilten Systemen?	<div id='extra'>Herausforderungen können sein:&nbsp;<div><br></div><div>Koordination von verteilten Ressourcen&nbsp;</div><div>Verwaltung von Datenkonsistenz und -integrität</div><div>Sicherstellung guter Leistung bei steigender Last</div></div>
Wie kann man die Skalierbarkeit von verteilten Systemen verbessern?	<div id='extra'>Durch den Einsatz skalierbarer Architekturen, wie z.B. Microservices oder Service-Oriented Architecture (SOA), sowie durch den Einsatz von Cloud-Computing-Technologien und automatisierten Skalierungslösungen.</div>
Was ist Verteilungstransparenz in Bezug auf verteilte Systeme?	<div id='extra'>Verteilungstransparenz bezieht sich darauf, dass Benutzer und Anwendungen nicht bewusst sein sollten, dass sie auf ein verteiltes System zugreifen.</div>
Warum ist Verteilungstransparenz wichtig in verteilten Systemen?	<div id='extra'>Weil es dazu beiträgt, die Komplexität des Systems zu reduzieren und die Benutzerfreundlichkeit zu erhöhen.</div>
Was sind Beispiele für Verteilungstransparenz in verteilten Systemen?	<div id='extra'>Verbergen von Netzwerkdetails, automatische Lastverteilung oder Replikation von Daten.</div>
Was ist Netzwerktransparenz in Bezug auf Verteilungstransparenz?	<div id='extra'>Netzwerktransparenz bezieht sich darauf, dass das verteilte System für den Benutzer wie ein einzelnes System erscheint und er keine Kenntnis von der Netzwerktopologie oder -architektur haben muss.</div>
Was ist Orts-Transparenz in Bezug auf Verteilungstransparenz?	<div id='extra'>Orts-Transparenz bezieht sich darauf, dass der Benutzer keine Kenntnis von der physischen Speicherorten der Ressourcen im verteilten System haben sollte.</div>
Was ist Migrationstransparenz in Bezug auf Verteilungstransparenz?	<div id='extra'>Migrationstransparenz bezieht sich darauf, dass der Benutzer keine Kenntnis davon haben sollte, wenn eine Ressource von einem Knoten im System auf einen anderen verschoben wird.</div>
Was ist Replikationstransparenz in Bezug auf Verteilungstransparenz?	<div id='extra'>Replikationstransparenz bezieht sich darauf, dass der Benutzer keine Kenntnis davon haben sollte, wenn Daten auf mehrere Server im System repliziert werden.</div>
Was ist Fragmentierungstransparenz in Bezug auf Verteilungstransparenz?	<div id='extra'>Fragmentierungstransparenz bezieht sich darauf, dass der Benutzer keine Kenntnis davon haben sollte, wenn Daten in Fragmente aufgeteilt und auf verschiedene Server im System verteilt werden.</div>
Wie kann man die Verteilungstransparenz in verteilten Systemen verbessern?	<div id='extra'>Durch den Einsatz von Middleware-Technologien wie Remote Procedure Calls (RPC) oder Message-Oriented Middleware (MOM), sowie durch den Einsatz von automatisierten Skalierungslösungen und Überwachungstools.</div>
Was ist ein kohärentes System in Bezug auf verteilte Systeme?	<div id='extra'>Ein kohärentes System bezieht sich darauf, dass das verteilte System für den Benutzer wie ein zentrales, lokales System erscheint, obwohl die Daten und Funktionen in Wirklichkeit auf verschiedenen Knoten im verteilten System umgesetzt und gespeichert sind.</div>
Warum ist ein kohärentes System wichtig in verteilten Systemen?	<div id='extra'>Weil es dazu beiträgt, die Benutzerfreundlichkeit zu erhöhen und die Komplexität des Systems zu reduzieren.</div>
Was sind Beispiele für Technologien oder Ansätze zur Erreichung eines kohärenten Systems?	<div id='extra'>Caching von Daten, Replikation von Daten oder Load Balancing.</div>
Was ist Caching in Bezug auf ein kohärentes System?	<div id='extra'>Caching bezieht sich darauf, dass häufig verwendete Daten im lokalen Speicher des Benutzers oder Anwendungsservers zwischengespeichert werden, um eine schnellere Antwortzeit zu erreichen.</div>
Was sind Ziele im Anforderungsprozess für verteilte Systeme?	<div id='extra'>Die Ziele im Anforderungsprozess für verteilte Systeme beziehen sich darauf, die Anforderungen des Systems klar zu definieren, um sicherzustellen, dass das System die beabsichtigten Ziele erfüllt und die Anforderungen erfüllt.</div>
Warum ist es wichtig, klare Ziele im Anforderungsprozess zu haben?	<div id='extra'>Weil es dazu beiträgt, dass das System effektiv und effizient arbeitet und den Bedürfnissen der Benutzer entspricht.</div>
Was sind Beispiele für Ziele im Anforderungsprozess für verteilte Systeme?	<div id='extra'>Skalierbarkeit<div>Verfügbarkeit</div><div>Zuverlässigkeit</div><div>Sicherheit</div></div>
Was ist Skalierbarkeit in Bezug auf Ziele im Anforderungsprozess?	<div id='extra'>Skalierbarkeit bezieht sich darauf, dass das System in der Lage sein sollte, mit steigender Last umzugehen und sich an veränderte Bedingungen anzupassen.</div>
Was sind Herausforderungen bei der Definition von Zielen im Anforderungsprozess für verteilte Systeme?	<div id='extra'>Identifizierung der Bedürfnisse und Erwartungen der Benutzer<div><br></div><div>Berücksichtigung von technischen Einschränkungen</div><div><br></div><div>Abstimmung der verschiedenen Stakeholder</div></div>
Was sind die &quot;Eight Fallacies of Distributed Computing&quot;?	"<div id='extra'>Die ""Eight Fallacies of Distributed Computing"" sind acht falsche Annahmen, die oft in verteilten Systemen gemacht werden und von L. Peter Deutsch formuliert wurden. Eine dieser Annahmen ist, dass das Netzwerk immer verfügbar und zuverlässig ist.</div>"
Warum sind die &quot;Eight Fallacies of Distributed Computing&quot; wichtig?	<div id='extra'>Weil sie dazu beitragen, immer wiederkehrende Fehler in verteilten Systemen zu vermeiden und das Verständnis für die Komplexität von verteilten Systemen zu verbessern.</div>
Was ist die Annahme, dass das Netzwerk immer verfügbar ist?	<div id='extra'>Die Annahme geht davon aus, dass das Netzwerk immer verfügbar und zuverlässig ist und dass das System immer in der Lage ist, auf das Netzwerk zuzugreifen.</div>
Was sind weitere Beispiele für die &quot;Eight Fallacies of Distributed Computing&quot;?	<div id='extra'>Latenzzeit ist null<div><br><div>Bandbreite ist unendlich</div><div><br></div><div>Es gibt nur einen Administrator im System</div></div></div>
